dataset_index,cube,geo_group,season,donor_index,donor_cube,suffix_horizon,state_A_B_l1,state_A_donor_l1,n_valid,target_sum,target_sum_sq,D20_sse,D20_sum_abs,A_sse,A_sum_abs,B_sse,B_sum_abs,donor_sse,donor_sum_abs,A_B_output_mae,A_D20_output_mae,B_D20_output_mae,donor_A_output_mae
411,minicube_41_30TYN_42.40_0.70,30TYN,2022-05,445,minicube_72_31TDJ_43.33_2.46,10,0.16236500442028046,0.5554623007774353,1775,798.4193115234375,369.1649169921875,12.05133056640625,110.8720703125,12.035776138305664,109.67135620117188,13.071176528930664,115.58499145507812,14.061107635498047,122.53247833251953,0.006167785730212927,0.006502425763756037,0.008454177528619766,0.015305757522583008
413,minicube_43_30TYQ_44.35_0.09,30TYQ,2022-05,356,minicube_20_29TQF_40.81_-5.66,1,0.16444739699363708,0.7406355738639832,4907,1949.78515625,847.146728515625,42.53473663330078,378.07470703125,44.84599304199219,383.5613098144531,41.985748291015625,371.45404052734375,43.174156188964844,380.61077880859375,0.006835203152149916,0.01448883954435587,0.010872595012187958,0.030219458043575287
413,minicube_43_30TYQ_44.35_0.09,30TYQ,2022-05,356,minicube_20_29TQF_40.81_-5.66,2,0.16444739699363708,0.7406355738639832,15868,5907.642578125,2480.128662109375,177.7896728515625,1336.99267578125,173.43922424316406,1316.166259765625,167.39999389648438,1295.407470703125,153.29653930664062,1266.59130859375,0.006762403063476086,0.005816180724650621,0.008124400861561298,0.03643309697508812
413,minicube_43_30TYQ_44.35_0.09,30TYQ,2022-05,356,minicube_20_29TQF_40.81_-5.66,3,0.16444739699363708,0.7406355738639832,790,354.7314453125,173.1063232421875,11.874500274658203,84.1329116821289,11.728532791137695,83.78746032714844,11.22797966003418,81.80552673339844,15.337373733520508,97.8172607421875,0.005332903936505318,0.006143319886177778,0.00849162507802248,0.04538637399673462
413,minicube_43_30TYQ_44.35_0.09,30TYQ,2022-05,356,minicube_20_29TQF_40.81_-5.66,4,0.16444739699363708,0.7406355738639832,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
413,minicube_43_30TYQ_44.35_0.09,30TYQ,2022-05,356,minicube_20_29TQF_40.81_-5.66,5,0.16444739699363708,0.7406355738639832,14406,5058.5771484375,1946.11767578125,142.46749877929688,1107.498779296875,120.4678955078125,1010.19287109375,113.85028076171875,982.6027221679688,99.08642578125,939.358642578125,0.007076731882989407,0.015383007936179638,0.020030619576573372,0.041069045662879944
413,minicube_43_30TYQ_44.35_0.09,30TYQ,2022-05,356,minicube_20_29TQF_40.81_-5.66,6,0.16444739699363708,0.7406355738639832,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
413,minicube_43_30TYQ_44.35_0.09,30TYQ,2022-05,356,minicube_20_29TQF_40.81_-5.66,7,0.16444739699363708,0.7406355738639832,16165,6074.47021484375,2566.33935546875,172.08441162109375,1386.532958984375,180.71414184570312,1428.915283203125,184.635986328125,1453.36328125,208.45486450195312,1522.756103515625,0.007548833731561899,0.00714827561751008,0.013305996544659138,0.03159473091363907
413,minicube_43_30TYQ_44.35_0.09,30TYQ,2022-05,356,minicube_20_29TQF_40.81_-5.66,8,0.16444739699363708,0.7406355738639832,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
413,minicube_43_30TYQ_44.35_0.09,30TYQ,2022-05,356,minicube_20_29TQF_40.81_-5.66,9,0.16444739699363708,0.7406355738639832,6186,2203.609619140625,939.768310546875,65.36187744140625,523.032958984375,70.95636749267578,546.077880859375,72.18993377685547,554.4718017578125,62.98518753051758,510.95062255859375,0.007843883708119392,0.00928039476275444,0.01423127856105566,0.0377022810280323
413,minicube_43_30TYQ_44.35_0.09,30TYQ,2022-05,356,minicube_20_29TQF_40.81_-5.66,10,0.16444739699363708,0.7406355738639832,16165,5898.73291015625,2356.195068359375,87.02619171142578,940.9920654296875,93.12983703613281,976.4141845703125,97.13497924804688,1008.4317626953125,92.09288787841797,998.2864990234375,0.008768086321651936,0.0079658767208457,0.014560291543602943,0.02994547039270401
415,minicube_45_30TYR_45.62_0.78,30TYR,2022-05,380,minicube_231_34TFN_43.02_22.63,1,0.1620713770389557,0.5404762029647827,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
415,minicube_45_30TYR_45.62_0.78,30TYR,2022-05,380,minicube_231_34TFN_43.02_22.63,2,0.1620713770389557,0.5404762029647827,16176,7899.2626953125,4084.086669921875,190.82235717773438,1488.321533203125,156.53738403320312,1352.929931640625,167.2724609375,1400.650634765625,146.57131958007812,1178.46630859375,0.009245092049241066,0.014164040796458721,0.010211200453341007,0.052939657121896744
415,minicube_45_30TYR_45.62_0.78,30TYR,2022-05,380,minicube_231_34TFN_43.02_22.63,3,0.1620713770389557,0.5404762029647827,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
415,minicube_45_30TYR_45.62_0.78,30TYR,2022-05,380,minicube_231_34TFN_43.02_22.63,4,0.1620713770389557,0.5404762029647827,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
415,minicube_45_30TYR_45.62_0.78,30TYR,2022-05,380,minicube_231_34TFN_43.02_22.63,5,0.1620713770389557,0.5404762029647827,16158,7361.25390625,3548.782470703125,135.57809448242188,1162.5960693359375,125.62078857421875,1146.93701171875,126.65110778808594,1162.986328125,176.10928344726562,1226.2791748046875,0.009178741835057735,0.014338548295199871,0.022808687761425972,0.057125382125377655
415,minicube_45_30TYR_45.62_0.78,30TYR,2022-05,380,minicube_231_34TFN_43.02_22.63,6,0.1620713770389557,0.5404762029647827,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
415,minicube_45_30TYR_45.62_0.78,30TYR,2022-05,380,minicube_231_34TFN_43.02_22.63,7,0.1620713770389557,0.5404762029647827,16180,7676.9892578125,3848.65234375,143.38311767578125,1279.9735107421875,146.81307983398438,1314.3408203125,159.6817626953125,1372.129150390625,140.589599609375,1157.54443359375,0.010428469628095627,0.009152023121714592,0.018099987879395485,0.05735589936375618
415,minicube_45_30TYR_45.62_0.78,30TYR,2022-05,380,minicube_231_34TFN_43.02_22.63,8,0.1620713770389557,0.5404762029647827,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
415,minicube_45_30TYR_45.62_0.78,30TYR,2022-05,380,minicube_231_34TFN_43.02_22.63,9,0.1620713770389557,0.5404762029647827,7,3.5126519203186035,1.7742135524749756,0.01857706718146801,0.3537231981754303,0.005014828406274319,0.16695630550384521,0.002840279834344983,0.12319290637969971,0.03078865073621273,0.4529118537902832,0.008828163146972656,0.02668098546564579,0.035509150475263596,0.040850795805454254
415,minicube_45_30TYR_45.62_0.78,30TYR,2022-05,380,minicube_231_34TFN_43.02_22.63,10,0.1620713770389557,0.5404762029647827,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
416,minicube_46_30TYR_45.49_0.70,30TYR,2022-05,259,minicube_119_32UNC_52.14_10.49,1,0.1585632860660553,0.5637822151184082,4251,2219.3623046875,1193.665283203125,47.972328186035156,401.6015930175781,49.774112701416016,411.5255126953125,47.314300537109375,400.93243408203125,72.57527160644531,497.7320556640625,0.005342514254152775,0.010149923153221607,0.008021536283195019,0.02619633823633194
416,minicube_46_30TYR_45.49_0.70,30TYR,2022-05,259,minicube_119_32UNC_52.14_10.49,2,0.1585632860660553,0.5637822151184082,15551,7801.1748046875,4075.9306640625,200.1009521484375,1543.620849609375,203.6554412841797,1573.26171875,189.31777954101562,1512.4208984375,340.2745361328125,2043.98974609375,0.006440304219722748,0.008870858699083328,0.008706101216375828,0.03976258262991905
416,minicube_46_30TYR_45.49_0.70,30TYR,2022-05,259,minicube_119_32UNC_52.14_10.49,3,0.1585632860660553,0.5637822151184082,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
416,minicube_46_30TYR_45.49_0.70,30TYR,2022-05,259,minicube_119_32UNC_52.14_10.49,4,0.1585632860660553,0.5637822151184082,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
416,minicube_46_30TYR_45.49_0.70,30TYR,2022-05,259,minicube_119_32UNC_52.14_10.49,5,0.1585632860660553,0.5637822151184082,15098,7130.8798828125,3464.29638671875,96.21208190917969,1004.89501953125,113.31168365478516,1118.84521484375,103.69892883300781,1062.2608642578125,244.9344024658203,1689.5657958984375,0.006506283301860094,0.017926227301359177,0.015548991970717907,0.050452832132577896
416,minicube_46_30TYR_45.49_0.70,30TYR,2022-05,259,minicube_119_32UNC_52.14_10.49,6,0.1585632860660553,0.5637822151184082,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
416,minicube_46_30TYR_45.49_0.70,30TYR,2022-05,259,minicube_119_32UNC_52.14_10.49,7,0.1585632860660553,0.5637822151184082,16314,7796.24267578125,3933.51025390625,251.09371948242188,1779.041259765625,266.013427734375,1846.1046142578125,254.30618286132812,1802.171630859375,477.6959533691406,2480.86767578125,0.00584749411791563,0.00912664644420147,0.010992501862347126,0.05164746567606926
416,minicube_46_30TYR_45.49_0.70,30TYR,2022-05,259,minicube_119_32UNC_52.14_10.49,8,0.1585632860660553,0.5637822151184082,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
416,minicube_46_30TYR_45.49_0.70,30TYR,2022-05,259,minicube_119_32UNC_52.14_10.49,9,0.1585632860660553,0.5637822151184082,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
416,minicube_46_30TYR_45.49_0.70,30TYR,2022-05,259,minicube_119_32UNC_52.14_10.49,10,0.1585632860660553,0.5637822151184082,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
418,minicube_48_30UWB_50.96_-1.62,30UWB,2022-05,286,minicube_146_33TVF_40.88_14.87,1,0.17385590076446533,0.6737543344497681,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
418,minicube_48_30UWB_50.96_-1.62,30UWB,2022-05,286,minicube_146_33TVF_40.88_14.87,2,0.17385590076446533,0.6737543344497681,13355,5468.9189453125,2442.71630859375,178.68875122070312,1264.71240234375,186.014404296875,1272.6448974609375,180.82029724121094,1267.827880859375,296.49578857421875,1593.624267578125,0.016191083937883377,0.023053990676999092,0.010576602071523666,0.0740242674946785
418,minicube_48_30UWB_50.96_-1.62,30UWB,2022-05,286,minicube_146_33TVF_40.88_14.87,3,0.17385590076446533,0.6737543344497681,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
418,minicube_48_30UWB_50.96_-1.62,30UWB,2022-05,286,minicube_146_33TVF_40.88_14.87,4,0.17385590076446533,0.6737543344497681,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
