split,dataset_index,cube,season,suffix_horizon,geo_group,n_valid,c1_A_B_output_mae,fsr_A_B_output_mae,delta_fsr_minus_c1
iid,1008,minicube_153_33TXJ_43.46_16.80,MAM18,7,33TXJ,12045,0.0069797770120203495,0.0027399715036153793,-0.0042398055084049702
iid,1008,minicube_153_33TXJ_43.46_16.80,MAM18,8,33TXJ,15728,0.006837001070380211,0.002999324118718505,-0.003837676951661706
iid,1009,minicube_154_33TXJ_43.62_16.81,MAM18,1,33TXJ,16041,0.006062224041670561,0.0063269841484725475,0.00026476010680198669
iid,1009,minicube_154_33TXJ_43.62_16.81,MAM18,10,33TXJ,9290,0.005985337309539318,0.013487626798450947,0.0075022894889116287
iid,1009,minicube_154_33TXJ_43.62_16.81,MAM18,2,33TXJ,16041,0.005743884947150946,0.00720991799607873,0.001466033048927784
iid,1009,minicube_154_33TXJ_43.62_16.81,MAM18,3,33TXJ,10526,0.006402859464287758,0.007164487149566412,0.0007616276852786541
iid,1009,minicube_154_33TXJ_43.62_16.81,MAM18,5,33TXJ,16041,0.005878678523004055,0.011631167493760586,0.0057524889707565308
iid,1009,minicube_154_33TXJ_43.62_16.81,MAM18,8,33TXJ,14358,0.006070743314921856,0.011823376640677452,0.0057526333257555962
iid,1009,minicube_154_33TXJ_43.62_16.81,MAM18,9,33TXJ,15218,0.005999889224767685,0.01306055672466755,0.0070606674998998642
iid,1010,minicube_155_33TXN_47.56_16.91,MAM18,1,33TXN,15763,0.002880572574213147,0.006536616012454033,0.0036560434382408857
iid,1010,minicube_155_33TXN_47.56_16.91,MAM18,10,33TXN,10337,0.004353542812168598,0.011635343544185162,0.0072818007320165634
iid,1010,minicube_155_33TXN_47.56_16.91,MAM18,4,33TXN,15763,0.0030224351212382317,0.01079630944877863,0.0077738743275403976
iid,1010,minicube_155_33TXN_47.56_16.91,MAM18,8,33TXN,4024,0.004688113462179899,0.00888668093830347,0.0041985674761235714
iid,1010,minicube_155_33TXN_47.56_16.91,MAM18,9,33TXN,15763,0.00410365778952837,0.010871078819036484,0.0067674210295081139
iid,1011,minicube_156_33TXN_47.36_16.70,MAM18,1,33TXN,16345,0.0026651890948414803,0.006199194584041834,0.0035340054892003536
iid,1011,minicube_156_33TXN_47.36_16.70,MAM18,10,33TXN,16157,0.0030313488095998764,0.014453967101871967,0.011422618292272091
iid,1011,minicube_156_33TXN_47.36_16.70,MAM18,4,33TXN,16346,0.0025600981898605824,0.011030269786715508,0.0084701715968549252
iid,1011,minicube_156_33TXN_47.36_16.70,MAM18,7,33TXN,16346,0.0030828709714114666,0.009361439384520054,0.0062785684131085873
iid,1011,minicube_156_33TXN_47.36_16.70,MAM18,8,33TXN,2224,0.0030094189569354057,0.010280557908117771,0.0072711389511823654
iid,1011,minicube_156_33TXN_47.36_16.70,MAM18,9,33TXN,16333,0.0029371376149356365,0.013103222474455833,0.010166084859520197
iid,1012,minicube_157_33TXN_46.91_17.39,MAM18,1,33TXN,16315,0.005417870357632637,0.003927823156118393,-0.0014900472015142441
iid,1012,minicube_157_33TXN_46.91_17.39,MAM18,10,33TXN,16319,0.005848489236086607,0.01069957111030817,0.0048510818742215633
iid,1012,minicube_157_33TXN_46.91_17.39,MAM18,2,33TXN,16222,0.005836516618728638,0.004413518123328686,-0.0014229984953999519
iid,1012,minicube_157_33TXN_46.91_17.39,MAM18,3,33TXN,10023,0.005558650009334087,0.006804680917412043,0.0012460309080779552
iid,1012,minicube_157_33TXN_46.91_17.39,MAM18,4,33TXN,2962,0.004643887747079134,0.009099121205508709,0.004455233458429575
iid,1012,minicube_157_33TXN_46.91_17.39,MAM18,5,33TXN,16319,0.004843712318688631,0.009565041400492191,0.0047213290818035603
iid,1012,minicube_157_33TXN_46.91_17.39,MAM18,7,33TXN,7,0.006350064184516668,0.007232653442770243,0.00088258925825357437
iid,1012,minicube_157_33TXN_46.91_17.39,MAM18,9,33TXN,8574,0.004915472585707903,0.011084658093750477,0.0061691855080425739
iid,1013,minicube_158_33TYM_46.41_18.67,MAM18,1,33TYM,16287,0.007724691182374954,0.0037094762083142996,-0.0040152149740606546
iid,1013,minicube_158_33TYM_46.41_18.67,MAM18,10,33TYM,10095,0.006285507697612047,0.011948183178901672,0.0056626754812896252
iid,1013,minicube_158_33TYM_46.41_18.67,MAM18,2,33TYM,15715,0.007135644089430571,0.004572947975248098,-0.0025626961141824722
iid,1013,minicube_158_33TYM_46.41_18.67,MAM18,3,33TYM,16372,0.006168828811496496,0.006488244514912367,0.00031941570341587067
iid,1013,minicube_158_33TYM_46.41_18.67,MAM18,5,33TYM,13240,0.005846105050295591,0.0093768909573555,0.0035307859070599079
iid,1013,minicube_158_33TYM_46.41_18.67,MAM18,6,33TYM,5164,0.006584616377949715,0.008441254496574402,0.0018566381186246872
iid,1013,minicube_158_33TYM_46.41_18.67,MAM18,7,33TYM,1658,0.007087611127644777,0.008138805627822876,0.0010511945001780987
iid,1013,minicube_158_33TYM_46.41_18.67,MAM18,8,33TYM,6383,0.0061196633614599705,0.009816461242735386,0.0036967978812754154
iid,1014,minicube_159_33TYM_46.57_18.14,MAM18,1,33TYM,15944,0.006563965696841478,0.003510718699544668,-0.0030532469972968102
iid,1014,minicube_159_33TYM_46.57_18.14,MAM18,10,33TYM,15409,0.0038009181153029203,0.011384213343262672,0.0075832952279597521
iid,1014,minicube_159_33TYM_46.57_18.14,MAM18,2,33TYM,15945,0.00585580337792635,0.0040854280814528465,-0.0017703752964735031
iid,1014,minicube_159_33TYM_46.57_18.14,MAM18,3,33TYM,1570,0.006497686728835106,0.003915931563824415,-0.0025817551650106907
iid,1014,minicube_159_33TYM_46.57_18.14,MAM18,4,33TYM,3873,0.0032961938995867968,0.008589714765548706,0.0052935208659619093
iid,1014,minicube_159_33TYM_46.57_18.14,MAM18,5,33TYM,13671,0.004084607120603323,0.009511303156614304,0.0054266960360109806
iid,1014,minicube_159_33TYM_46.57_18.14,MAM18,6,33TYM,7967,0.00450963294133544,0.008310181088745594,0.0038005481474101543
iid,1014,minicube_159_33TYM_46.57_18.14,MAM18,9,33TYM,4518,0.004305184353142977,0.008264190517365932,0.0039590061642229557
iid,1015,minicube_15_29TPH_42.42_-7.23,MAM18,1,29TPH,15591,0.0071083190850913525,0.004652953706681728,-0.0024553653784096241
iid,1015,minicube_15_29TPH_42.42_-7.23,MAM18,2,29TPH,15590,0.007168951444327831,0.004604917019605637,-0.0025640344247221947
iid,1015,minicube_15_29TPH_42.42_-7.23,MAM18,3,29TPH,8,0.003941148519515991,0.004668965935707092,0.00072781741619110107
iid,1015,minicube_15_29TPH_42.42_-7.23,MAM18,4,29TPH,15591,0.006740262731909752,0.004378288984298706,-0.0023619737476110458
iid,1015,minicube_15_29TPH_42.42_-7.23,MAM18,5,29TPH,15591,0.006574659142643213,0.004212219268083572,-0.0023624398745596409
iid,1015,minicube_15_29TPH_42.42_-7.23,MAM18,6,29TPH,15591,0.006454929709434509,0.0042720152996480465,-0.0021829144097864628
